160, 463, 70, 168
160, 463, 70, 168
160, 463, 70, 168
161, 464, 70, 168
162, 464, 70, 168
163, 464, 70, 168
166, 464, 70, 168
169, 463, 70, 168
169, 463, 70, 168
173, 462, 70, 168
176, 462, 70, 168
179, 462, 70, 168
183, 462, 70, 168
187, 461, 70, 168
187, 461, 70, 168
190, 462, 70, 168
195, 461, 70, 168
199, 460, 70, 168
205, 459, 70, 168
602, 400, 70, 168
602, 400, 70, 168
289, 500, 70, 168
293, 498, 70, 168
298, 499, 70, 168
645, 414, 70, 168
263, 530, 70, 168
263, 530, 70, 168
377, 411, 70, 168
274, 445, 70, 168
274, 454, 70, 168
280, 454, 70, 168
287, 454, 70, 168
287, 454, 70, 168
294, 454, 70, 168
300, 454, 70, 168
305, 455, 70, 168
309, 457, 70, 168
734, 429, 70, 168
734, 429, 70, 168
2, 463, 70, 168
6, 463, 70, 168
13, 463, 70, 168
19, 463, 70, 168
25, 463, 70, 168
25, 463, 70, 168
30, 464, 70, 168
35, 465, 70, 168
40, 466, 70, 168
44, 469, 70, 168
48, 468, 70, 168
48, 468, 70, 168
51, 470, 70, 168
53, 471, 70, 168
355, 461, 70, 168
355, 458, 70, 168
59, 467, 70, 168
59, 467, 70, 168
62, 463, 70, 168
64, 460, 70, 168
66, 461, 70, 168
70, 456, 70, 168
77, 460, 70, 168
77, 460, 70, 168
82, 457, 70, 168
87, 454, 70, 168
89, 450, 70, 168
88, 448, 70, 168
89, 445, 70, 168
89, 445, 70, 168
91, 443, 70, 168
99, 438, 70, 168
477, 436, 70, 168
104, 437, 70, 168
107, 437, 70, 168
107, 437, 70, 168
110, 438, 70, 168
114, 438, 70, 168
118, 438, 70, 168
121, 437, 70, 168
124, 435, 70, 168
124, 435, 70, 168
125, 432, 70, 168
126, 428, 70, 168
128, 420, 70, 168
128, 413, 70, 168
128, 409, 70, 168
128, 409, 70, 168
127, 401, 70, 168
127, 399, 70, 168
127, 398, 70, 168
127, 398, 70, 168
126, 399, 70, 168
126, 399, 70, 168
126, 402, 70, 168
125, 409, 70, 168
126, 411, 70, 168
130, 416, 70, 168
130, 418, 70, 168
130, 418, 70, 168
125, 422, 70, 168
